txid,size,ts_send,ts_accept,ts_commit,ts_error
c3ceb69e2e99bc8ec7cecd1612ca845dadf2dfa70992412ecaa77d0133af0452,1024,1548410096814,1548410096848,1548410097356,
ff58e343a7b046a89ec0de8e0352a53eae66d96db6db6edc76238456e28c0676,1024,1548410096810,1548410096850,1548410098334,
24afbaa312fa25f8b63ab541354827e3a13464f7698e6aa744d8f7836662d12f,1024,1548410096875,1548410096894,1548410098334,
c558814ebb2bb6b3572b24be16f0d9afa703eda4082ef2dd6021838af993ede1,1024,1548410096807,1548410096842,1548410098335,
37e17093e7b498f575878d6bfaf6802bbf000b10ed0742558668cc57af95f9fe,1024,1548410096872,1548410096895,1548410098337,
7725258b2ddb4034d1ab80412dabd7312d241958f01fa8b6a3fc71dc76634294,1024,1548410096871,1548410096902,1548410098337,
6abb099e6a561d3e0d90233b4c969bedf163a9761e678de70798a5241c056fd2,1024,1548410096896,1548410096917,1548410098337,
98ee67d953a9fa7c5df70a2aa1a9c63a95ecf968ee39b28e8397602a3b2f549a,1024,1548410096808,1548410096843,1548410098338,
687de42267b63e3467610e1d5173d7f1054302c3c1de8eab14c62760f049d41b,1024,1548410096821,1548410096857,1548410098338,
a022232a29577102b24021759e8280ae7868f0f265bf95254c2c54aa50309e8d,1024,1548410096844,1548410096871,1548410098339,
052bb244c51c8b8e01f1e36bcc4323fafbf4dd8eeab66ec15cf2b891b7782b87,1024,1548410096845,1548410096917,1548410098339,
4a614be6bfa861c20f7ba4799b208835536114ac44e154399ab74728117ec93e,1024,1548410096856,1548410096918,1548410098339,
2996164872d16657fe43559e1855a5d2092772405df1f85ed963a18b9f777257,1024,1548410096813,1548410096845,1548410098339,
e853fef249bf89a58094436324ac694bd61e3a5db2014d8ee730e10b2e28f4e5,1024,1548410096816,1548410096858,1548410098340,
47ae4a17094a4345eeb5b1fb1d4358d7c2848ecca863aa37136043c2cfb21454,1024,1548410096859,1548410096887,1548410098340,
741cd02dc2e7efd0bd027d1419594106f3baa268e1e02c8ffc3e9784f5ab965e,1024,1548410096905,1548410096933,1548410098340,
1e4329967be297946a1c7dc8f3fd3ca2cbe652c360b43b3942f4bd246b4e9df6,1024,1548410096918,1548410096957,1548410098340,
24b880ea52dde17c18a7b52c223d2e990d56c19152a18c44788ddac26b70d1ee,1024,1548410096853,1548410096880,1548410098340,
b803d2e0b9c5bb9ac97da19dcc0435263b57d0aaf05e220fc05bc01712ca230f,1024,1548410096894,1548410096945,1548410098341,
ce785906984872dcdf126bffad716a34e59049b9559566d7dbe14f70e9496256,1024,1548410096818,1548410096852,1548410098341,
dac9afbe3f2172f789c2cdc722be7fc9b72f002ee06c4c927d205e186d580615,1024,1548410096934,1548410097130,1548410098341,
3d16442907f585e08d6d9c997968f23afec56bcca81738a957e54b87b782485c,1024,1548410096844,1548410096872,1548410098341,
5580993df26afb6d41de2efb89263037668550e3c5c9696d0a400997f92cd538,1024,1548410096849,1548410096874,1548410098341,
e8b91ac749bb4ee29a38cd725c8d561cc2980b0dbcb5bb345cefd16889fcc99d,1024,1548410096859,1548410096883,1548410098342,
703dab9d40aa1ce5f27154af149a95ce487a25e448331c4597477ebc680fe0e5,1024,1548410096888,1548410096945,1548410098342,
01007149fb574c3131c7230ab47e45f3049145195b1b6dd56b9346effd2035d1,1024,1548410096958,1548410097259,1548410098342,
8a4ed37de3cb035cf95645d46715b303e8b67636097a5140b2c7d4ffdecad057,1024,1548410096883,1548410096905,1548410098342,
4052778d0fea508e0f53b49899709e5864824671fbf6f4000d56aa0fb8de20ac,1024,1548410096880,1548410096914,1548410098344,
