txid,size,ts_send,ts_accept,ts_commit,ts_error
27f09bc63f4f9cd40fc841a53b470a59b83c8110c52efd340f44c402bed3fd81,765,1548409711956,1548409712020,1548409712725,
6b119546460b553444f2c38d859968a03cba457075f4c55427def566ce854d41,765,1548409711942,1548409712010,1548409713717,
bda2f6283410c9e5daf6685584b31a83698cdb511147ffe3e476315152bd2751,765,1548409712019,1548409712043,1548409713723,
72909bab88380b9505335c45193786a9906d21b712ce834438a8630eace6dc66,765,1548409711944,1548409712014,1548409713724,
6db14cf258527197209652704a5fc1f416cf40ec069f069a13e296ab58bc3344,765,1548409711951,1548409712027,1548409713724,
88453329257510f4447cb2614788946e82da64e3bb2d84c5af684a56ca4add7a,765,1548409712016,1548409712076,1548409713725,
3c2431eb8740104c57f7a842920953db135404ea111790c781c6656cfc1255d2,765,1548409712011,1548409712090,1548409713725,
b5572696f9d0b34eeed7b297065dc60604577759ac078f54f7109fc129014c32,765,1548409712028,1548409712088,1548409713725,
e367eb4f8277291ab472a224104eb6e967afceb4a96d2c2296c9519a1b48129f,765,1548409711941,1548409712011,1548409713727,
e1797fd71e9a68ef5265e1ec5a841dbab6492895fe68324afa0bbbc69a43876e,765,1548409712028,1548409712074,1548409713728,
e85aff38ad5cdd09ee94b7c0c2aab18f636bdfb1999376bf569414bac28f255a,765,1548409711948,1548409712014,1548409713729,
663bbadfb4ae023839a0a5abf614e07969d13c75bf6c01dc6d582ec5fca1c0fb,765,1548409711947,1548409712023,1548409713729,
8089de5c2500fb735e3a8a5971263d0f398aea8c7983f29b610f80b53d4d290d,765,1548409711953,1548409712027,1548409713729,
c413cec694256ac19893dd1bb01d95cfd1bef56494020b3e87660c896041bbc6,765,1548409712026,1548409712075,1548409713730,
a88157dd7dd862d32297e2e771ce2c9ae47e025bd4596af4a1936a6cbc4ba7df,765,1548409712024,1548409712088,1548409713730,
bd71a4d8d6c09e61fd2101840e2ae77d48086fed92938dc31080db14b3eaf470,765,1548409712044,1548409712117,1548409713730,
c3eb4ec7eb3ef0b73784edfc5967d6f51aaf5fed63bf124b97b0047780887a3c,765,1548409712014,1548409712066,1548409713731,
3ec3faa62abae0efff3ed585010e71392b492f62c9f6e4c91ed08d9b7dc78872,765,1548409712088,1548409712126,1548409713731,
7be95d49dfcb2a025b36515fd03a875d2f68f7ebcc865aafbd4df7a081bf5415,765,1548409712131,1548409712284,1548409713731,
bddecec79ee34065216da5e362a97e030dbed9c340b3984f10e7233641200c87,765,1548409712088,1548409712131,1548409713732,
f0d083fe6b5705bf301a3706eefa424217f219700e539f523d6319f2ade34377,765,1548409712067,1548409712231,1548409713732,
afb8c79a171250d613180bab0b87211670f083691856ded257514128c597225e,765,1548409712117,1548409712273,1548409713732,
b7c3a2821f63190c43985f7ee86d4159a25e93ef110c00c9a26c3452766cae84,765,1548409712274,1548409712340,1548409713733,
7b72966dc461a31422e4f06c5b0cb18a7f3c8615294ddb9141fe12299b351b8c,765,1548409712232,1548409712289,1548409713733,
25ad4f259cfef072d2b05cbfd81c01f63ad25896aa4dc799864e99d3949ba1ae,765,1548409712076,1548409712316,1548409713733,
a884306fe370e98ca5fe58940cb9b18a102b617c6859b5ca915739d6d25c9bb4,765,1548409712075,1548409712317,1548409713733,
